Factor_Name,Return
F01,0.207668408178675
F02,0.007498520857166198
F03,-0.056635413871819806
F04,0.08117401177392156
F05,-0.01788751460590423
F06,-0.015456581524881243
F07,0.05284320081171912
F08,0.044388003822863974
F09,-0.1317290025887739
F10,0.04887914997793109
I01,-0.24129526672545815
I02,-0.016021101351872936
I03,-0.000796621114491286
I04,-0.03891399491537557
I05,-0.0117357497646547
I06,0.020844826345410832
I07,0.015471903730099332
I08,-0.33234705473091725
I09,-0.05544321826183479
I10,-0.031917115922992435
I11,0.0847493565955723
I12,0.025476339686392766
I13,0.0011579110588717737
I14,-0.0954952312356324
I15,-0.04948492869712629
I16,0.20497398724494212
I17,-0.3562395590232966
I18,0.17439839929216236
I19,-0.2460582641685072
I20,0.005455592709596683
Residual,3.4341675614788505
