Factor_Name,Return
F01,-0.010493787054065689
F02,0.10952767841108124
F03,0.36548951742077546
F04,0.03132373738405687
F05,-0.29353188545527237
F06,-0.07721738884508637
F07,-0.06984219847667542
F08,-0.3073293582907428
F09,-0.06663558380980655
F10,-0.044596107035261574
I01,0.034973279951585244
I02,0.004417026369213946
I03,-0.10829103733542988
I04,-0.07115430966333869
I05,-0.02915490802607954
I06,0.12598449338601733
I07,0.25105640240276206
I08,-0.21886497988679757
I09,0.022526141509529307
I10,-0.05435569922198393
I11,0.005693888543241634
I12,0.03938895711386881
I13,-0.03288445813999263
I14,0.017392898096776594
I15,0.027296617472483898
I16,0.005354864722181124
I17,-0.07968048915365426
I18,-0.12312500430690494
I19,0.03981569453665718
I20,-0.012881707589878565
Residual,12.191435948739823
