Share_Code,Residual_Returns
S0001,41.44858448451856
S0002,43.81942499815556
S0003,84.44198804320423
S0004,-17.885135688940757
S0005,-0.7532146927946624
S0006,59.111663985048196
S0007,26.147162074263967
S0008,3.923273619281707
S0009,3.214061398087612
S0010,-22.02151165210952
S0011,95.20583193597987
S0012,27.758745391245306
S0013,-9.84003007588772
S0014,-52.06789271795145
S0015,-5.900146758354483
S0016,-89.91618659276476
S0017,89.21391629143491
S0018,96.4416950145062
S0019,-22.42744115053156
S0020,40.7272343513508
S0021,31.70181150855249
S0022,0.4598077186113301
S0023,-11.738344965053692
S0024,-52.82385078728713
S0025,-11.211064215134995
S0026,-42.80085034354567
S0027,59.19534494779876
S0028,4.2352473632834355
S0029,35.349494469426595
S0030,-28.932324934494932
S0031,-13.038441042298166
S0032,36.92663972172556
S0033,-13.221640335215616
S0034,7.432100201293515
S0035,82.63518991136944
S0036,-57.65271183506822
S0037,38.00287262458546
S0038,33.09883118938277
S0039,57.045228753554596
S0040,64.49535510506242
S0041,-94.27575207210947
S0042,30.310940616666137
S0043,-93.81519530578555
S0044,26.208238316114702
S0045,44.893241926127274
S0046,-79.9330504765044
S0047,42.746119897445304
S0048,11.614980662766417
S0049,93.96971245931411
S0050,8.12096455471978
S0051,-21.096613495015273
S0052,-102.77394850613379
S0053,7.999467753673882
S0054,-56.356833468528826
S0055,84.52994849181721
S0056,-87.09843792348664
S0057,-28.792557063638338
S0058,110.11714218195566
S0059,-79.47627418503414
S0060,18.481899553218728
S0061,-21.939068905682348
S0062,62.43089901332989
S0063,-102.3336761023086
S0064,73.70513871828466
S0065,51.02536206706943
S0066,106.75766083394325
S0067,47.007730742878756
S0068,89.4593912593667
S0069,-35.54908627398955
S0070,-48.392497152272014
S0071,-13.714699637806486
S0072,-65.1235035584844
S0073,87.617758888636
S0074,51.12778953345542
S0075,-6.944993452241582
S0076,89.99494209199655
S0077,14.366571401769352
S0078,-96.21151846187283
S0079,85.1900356561526
S0080,90.73150254663096
S0081,-47.51508303249043
S0082,94.88227043765957
S0083,-14.176899970198997
S0084,-70.29379519056849
S0085,13.117226466888667
S0086,-53.7196708626504
S0087,25.083029677340548
S0088,47.3551332586219
S0089,52.18608879308979
S0090,91.10705289575479
S0091,55.16313320269734
S0092,50.96431567026212
S0093,38.516624804040774
S0094,-69.97587979282689
S0095,-87.7646597288419
S0096,-11.455836724177761
S0097,-64.33103722950918
S0098,-77.55754705051467
S0099,9.504177796344534
S0100,-106.54542340171932
S0101,84.7989937243502
S0102,-79.64381041501208
S0103,13.496127617265863
S0104,-105.89753195842471
S0105,52.45288068173073
S0106,39.37090910581104
S0107,8.441867513018659
S0108,28.72014539139492
S0109,97.58203850725612
S0110,-1.6849269446916368
S0111,-90.26767677620242
S0112,-78.19119559790677
S0113,47.069048741805375
S0114,77.07883421609047
S0115,-76.94020345628704
S0116,11.66144250037468
S0117,-75.3379063515897
S0118,17.9186827238972
S0119,38.00866152321836
S0120,18.43786755122181
S0121,-23.901706008741755
S0122,43.60933867822139
S0123,-55.802992148929526
S0124,-29.34831471189278
S0125,1.2062364454940027
S0126,102.0978154381917
S0127,6.091059793841888
S0128,-68.07923998626316
S0129,-79.1140478091049
S0130,-62.26201198337755
S0131,-50.708650545846965
S0132,-4.864839635055327
S0133,84.4315078294962
S0134,-35.02476056492452
S0135,-72.87454701844537
S0136,85.01847644187244
S0137,88.43499255783001
S0138,-14.521938162959827
S0139,7.853065765406111
S0140,-61.45605450805076
S0141,25.94479123599098
S0142,-27.952826800229474
S0143,68.16535947892596
S0144,2.492718591593686
S0145,-57.531440429442554
S0146,86.5094923224365
S0147,-89.61800844538917
S0148,-66.24046302117576
S0149,-67.25656667194465
S0150,104.2182788339972
S0151,-60.5657262976004
S0152,76.97612739844953
S0153,-62.56632468645481
S0154,13.949660916564882
S0155,-38.07752165021929
S0156,-87.87506273548458
S0157,39.239944585677144
S0158,83.08256699811561
S0159,41.37457241701272
S0160,-105.67601768982352
